code_iso;ACodetxt;AName;AREA_HA;X_CNTR;Y_CNTR;E_CNTR;N_CNTR;GMDNR;GMDNAME;ACAT
CH;261;Zürich;791;679300;235700;2679300;1235700;1;Aeugst am Albis;4
CH;261;Zürich;754;675100;235300;2675100;1235300;10;Obfelden;4
CH;261;Zürich;1289;677500;264700;2677500;1264700;100;Stadel;4
CH;261;Zürich;939;676600;261500;2676600;1261500;101;Steinmaur;4
CH;261;Zürich;958;675200;267800;2675200;1267800;102;Weiach;4
CH;1061;Luzern;2037;664800;214100;2664800;1214100;1024;Emmen;2
CH;1061;Luzern;1321;666900;220500;2666900;1220500;1026;Eschenbach (LU);4
CH;1061;Luzern;1032;669200;219500;2669200;1219500;1033;Inwil;4
CH;1061;Luzern;942;661900;220000;2661900;1220000;1037;Rain;4
CH;1061;Luzern;1549;663000;216600;2663000;1216600;1040;Rothenburg;2
CH;1061;Luzern;699;670300;213700;2670300;1213700;1051;Adligenswil;2
CH;1061;Luzern;480;669000;216500;2669000;1216500;1052;Buchrain;2
CH;1061;Luzern;278;670800;216700;2670800;1216700;1053;Dierikon;2
CH;1061;Luzern;968;668600;215000;2668600;1215000;1054;Ebikon;2
CH;1061;Luzern;1286;666300;207900;2666300;1207900;1058;Horw;2
CH;1061;Luzern;2730;663800;209600;2663800;1209600;1059;Kriens;2
CH;1061;Luzern;2910;666200;211800;2666200;1211800;1061;Luzern;1
CH;1061;Luzern;2857;656700;209800;2656700;1209800;1062;Malters;4
CH;1061;Luzern;727;671000;211000;2671000;1211000;1063;Meggen;2
CH;1711;Zug;680;676200;219800;2676200;1219800;1064;Meierskappel;4
CH;1061;Luzern;3930;655900;207600;2655900;1207600;1066;Schwarzenberg;4
CH;1061;Luzern;622;673100;215900;2673100;1215900;1067;Udligenswil;4
CH;1061;Luzern;704;660000;222500;2660000;1222500;1088;Hildisrieden;4
CH;1061;Luzern;2548;658100;216700;2658100;1216700;1093;Neuenkirch;4
CH;91103;Sursee;910;651300;223000;2651300;1223000;1095;Oberkirch;6
CH;91103;Sursee;674;653100;224800;2653100;1224800;1099;Schenkon;6
CH;261;Zürich;502;673000;237200;2673000;1237200;11;Ottenbach;4
CH;91103;Sursee;583;650700;224700;2650700;1224700;1103;Sursee;6
CH;261;Zürich;2219;707200;243800;2707200;1243800;111;Bäretswil;4
CH;261;Zürich;1161;704400;236300;2704400;1236300;112;Bubikon;4
CH;3336;Rapperswil-Jona – Rüti;1022;706200;237200;2706200;1237200;113;Dürnten;2
CH;2581;Olten – Zofingen;828;640300;234700;2640300;1234700;1147;Wikon;2
CH;261;Zürich;1826;699600;240400;2699600;1240400;115;Gossau (ZH);4
CH;261;Zürich;879;700200;237900;2700200;1237900;116;Grüningen;4
CH;261;Zürich;2228;706400;239800;2706400;1239800;117;Hinwil;4
CH;3336;Rapperswil-Jona – Rüti;1006;707000;235300;2707000;1235300;118;Rüti (ZH);1
CH;261;Zürich;377;700800;244300;2700800;1244300;119;Seegräben;4
CH;261;Zürich;651;680100;232800;2680100;1232800;12;Rifferswil;4
CH;1201;Altdorf (UR);1021;691800;192900;2691800;1192900;1201;Altdorf (UR);1
CH;1201;Altdorf (UR);4689;690900;190700;2690900;1190700;1203;Attinghausen;2
CH;1201;Altdorf (UR);380;686900;199000;2686900;1199000;1204;Bauen;4
CH;1201;Altdorf (UR);5306;693300;192300;2693300;1192300;1205;Bürglen (UR);2
CH;1201;Altdorf (UR);5909;692500;186300;2692500;1186300;1206;Erstfeld;4
CH;1201;Altdorf (UR);1239;690400;195600;2690400;1195600;1207;Flüelen;2
CH;261;Zürich;1681;702700;242100;2702700;1242100;121;Wetzikon (ZH);3
CH;1201;Altdorf (UR);6097;685500;196100;2685500;1196100;1211;Isenthal;4
CH;1201;Altdorf (UR);1633;692800;191000;2692800;1191000;1213;Schattdorf;2
CH;1201;Altdorf (UR);1548;689500;192800;2689500;1192800;1214;Seedorf (UR);4
CH;1201;Altdorf (UR);14479;694100;182900;2694100;1182900;1216;Silenen;4
CH;1201;Altdorf (UR);6468;698300;192100;2698300;1192100;1218;Spiringen;4
CH;1201;Altdorf (UR);8028;701500;191100;2701500;1191100;1219;Unterschächen;4
CH;261;Zürich;1202;679500;242100;2679500;1242100;13;Stallikon;4
CH;91301;Einsiedeln;9893;699800;220400;2699800;1220400;1301;Einsiedeln;6
CH;261;Zürich;777;682200;240700;2682200;1240700;131;Adliswil;2
CH;261;Zürich;1750;699200;227100;2699200;1227100;1321;Feusisberg;4
CH;261;Zürich;1379;701400;228700;2701400;1228700;1322;Freienbach;3
CH;261;Zürich;631;697100;228000;2697100;1228000;1323;Wollerau;3
CH;1344;Lachen;2041;705500;227700;2705500;1227700;1341;Altendorf;1
CH;1344;Lachen;242;707200;227700;2707200;1227700;1344;Lachen;1
CH;1344;Lachen;2901;712900;225800;2712900;1225800;1346;Schübelbach;1
CH;1344;Lachen;846;710400;227700;2710400;1227700;1349;Wangen (SZ);2
CH;261;Zürich;258;683400;241300;2683400;1241300;135;Kilchberg (ZH);2
CH;261;Zürich;867;683400;238100;2683400;1238100;136;Langnau am Albis;2
CH;91362;Arth;4204;683500;212100;2683500;1212100;1362;Arth;6
CH;261;Zürich;279;686300;236800;2686300;1236800;137;Oberrieden;2
CH;91372;Schwyz;5318;692400;208500;2692400;1208500;1372;Schwyz;6
CH;261;Zürich;753;696000;229300;2696000;1229300;138;Richterswil;3
CH;261;Zürich;293;684400;240400;2684400;1240400;139;Rüschlikon;2
CH;261;Zürich;377;678200;243700;2678200;1243700;14;Wettswil am Albis;4
CH;91407;Sarnen;7311;661400;194200;2661400;1194200;1407;Sarnen;6
CH;261;Zürich;550;685500;238300;2685500;1238300;141;Thalwil;2
CH;1061;Luzern;1430;666400;204400;2666400;1204400;1507;Hergiswil (NW);4
CH;91509;Stans;1620;672100;201200;2672100;1201200;1508;Oberdorf (NW);6
CH;91509;Stans;1108;670600;201100;2670600;1201100;1509;Stans;6
CH;261;Zürich;289;687200;239800;2687200;1239800;151;Erlenbach (ZH);2
CH;91509;Stans;907;668500;203300;2668500;1203300;1510;Stansstad;6
CH;261;Zürich;899;688700;237700;2688700;1237700;152;Herrliberg;2
CH;261;Zürich;1218;700500;234300;2700500;1234300;153;Hombrechtikon;4
CH;261;Zürich;1236;686600;241300;2686600;1241300;154;Küsnacht (ZH);2
CH;261;Zürich;477;695200;234400;2695200;1234400;155;Männedorf;3
CH;261;Zürich;1194;691300;236100;2691300;1236100;156;Meilen;3
CH;261;Zürich;611;697000;236300;2697000;1236300;157;Oetwil am See;4
CH;261;Zürich;859;697000;233000;2697000;1233000;158;Stäfa;3
CH;261;Zürich;346;693800;235400;2693800;1235400;159;Uetikon am See;3
CH;261;Zürich;548;689700;242900;2689700;1242900;160;Zumikon;2
CH;261;Zürich;785;685800;243800;2685800;1243800;161;Zollikon;2
CH;1630;Glarus;14700;723200;217800;2723200;1217800;1630;Glarus Nord;1
CH;1630;Glarus;10367;723700;211300;2723700;1211300;1632;Glarus;1
CH;1711;Zug;2485;682600;227800;2682600;1227800;1701;Baar;2
CH;1711;Zug;1773;677400;226100;2677400;1226100;1702;Cham;2
CH;1711;Zug;1841;674900;225200;2674900;1225200;1703;Hünenberg;2
CH;1711;Zug;2751;687300;226000;2687300;1226000;1704;Menzingen;4
CH;1711;Zug;793;686100;228900;2686100;1228900;1705;Neuheim;4
CH;1711;Zug;3004;689200;221100;2689200;1221100;1706;Oberägeri;3
CH;1711;Zug;1486;675100;221600;2675100;1221600;1707;Risch;3
CH;1711;Zug;504;679300;227900;2679300;1227900;1708;Steinhausen;2
CH;1711;Zug;2561;686900;221300;2686900;1221300;1709;Unterägeri;3
CH;1711;Zug;1355;681700;217200;2681700;1217200;1710;Walchwil;4
CH;1711;Zug;2162;681800;224700;2681800;1224700;1711;Zug;1
CH;261;Zürich;947;699200;249400;2699200;1249400;172;Fehraltorf;4
CH;261;Zürich;1295;704800;246900;2704800;1246900;173;Hittnau;4
CH;261;Zürich;1199;693000;255300;2693000;1255300;176;Lindau;4
CH;261;Zürich;1952;701700;246900;2701700;1246900;177;Pfäffikon;4
CH;261;Zürich;1421;701000;250200;2701000;1250200;178;Russikon;4
CH;261;Zürich;1281;700000;254300;2700000;1254300;180;Weisslingen;4
CH;261;Zürich;1057;704000;253800;2704000;1253800;182;Wildberg;4
CH;261;Zürich;1362;689300;250400;2689300;1250400;191;Dübendorf;2
CH;261;Zürich;1453;694700;239600;2694700;1239600;192;Egg;4
CH;261;Zürich;638;690700;247300;2690700;1247300;193;Fällanden;4
CH;261;Zürich;227;693600;246800;2693600;1246800;194;Greifensee;2
CH;261;Zürich;1477;693000;244000;2693000;1244000;195;Maur;4
CH;261;Zürich;759;697000;240700;2697000;1240700;196;Mönchaltorf;4
CH;261;Zürich;262;692200;248800;2692200;1248800;197;Schwerzenbach;2
CH;261;Zürich;2849;696700;245000;2696700;1245000;198;Uster;3
CH;261;Zürich;1404;694800;249500;2694800;1249500;199;Volketswil;2
CH;261;Zürich;1059;676800;236800;2676800;1236800;2;Affoltern am Albis;3
CH;261;Zürich;792;691100;251800;2691100;1251800;200;Wangen-Brüttisellen;2
CH;5586;Lausanne;193;551500;159200;2551500;1159200;2061;Auboranges;4
CH;5586;Lausanne;202;553700;159800;2553700;1159800;2066;Chapelle (Glâne);4
CH;5586;Lausanne;488;551800;162200;2551800;1162200;2072;Ecublens (FR);4
CH;5586;Lausanne;220;552200;166100;2552200;1166100;2089;Montet (Glâne);4
CH;2125;Bulle;1003;574000;161400;2574000;1161400;2124;Broc;4
CH;2125;Bulle;2386;570800;162700;2570800;1162700;2125;Bulle;1
CH;261;Zürich;660;693100;258700;2693100;1258700;213;Brütten;4
CH;2125;Bulle;465;572100;166400;2572100;1166400;2131;Echarlens;2
CH;2125;Bulle;264;573000;163900;2573000;1163900;2143;Morlon;2
CH;2125;Bulle;449;570600;160300;2570600;1160300;2145;Le Pâquier (FR);4
CH;2125;Bulle;776;571100;165500;2571100;1165500;2148;Riaz;2
CH;261;Zürich;288;689300;264300;2689300;1264300;215;Dättlikon;4
CH;2125;Bulle;1045;568100;163000;2568100;1163000;2160;Vuadens;2
CH;2196;Fribourg;616;575900;177300;2575900;1177300;2171;Arconciel;4
CH;2196;Fribourg;622;568100;176200;2568100;1176200;2173;Autigny;4
CH;2196;Fribourg;584;571900;182000;2571900;1182000;2174;Avry;4
CH;2196;Fribourg;888;574700;185600;2574700;1185600;2175;Belfaux;2
CH;2196;Fribourg;394;566600;176700;2566600;1176700;2177;Chénens;4
CH;2196;Fribourg;723;574500;184200;2574500;1184200;2183;Corminboeuf;2
CH;2196;Fribourg;497;568900;177900;2568900;1177900;2186;Cottens (FR);4
CH;2196;Fribourg;561;577600;178200;2577600;1178200;2189;Ependes (FR);4
CH;230;Winterthur;807;702700;262500;2702700;1262500;219;Elsau;2
CH;2196;Fribourg;102;579300;177400;2579300;1177400;2194;Ferpicloz;4
CH;2196;Fribourg;929;577900;183600;2577900;1183600;2196;Fribourg;1
CH;2196;Fribourg;346;576500;184800;2576500;1184800;2197;Givisiez;2
CH;2196;Fribourg;399;577400;186000;2577400;1186000;2198;Granges-Paccot;2
CH;2196;Fribourg;534;571900;187000;2571900;1187000;2200;Grolley;4
CH;2196;Fribourg;772;578800;180600;2578800;1180600;2206;Marly;4
CH;2196;Fribourg;291;573900;181500;2573900;1181500;2208;Matran;4
CH;2196;Fribourg;553;571500;179700;2571500;1179700;2211;Neyruz (FR);4
CH;2196;Fribourg;691;568700;183600;2568700;1183600;2213;Noréaz;4
CH;2196;Fribourg;506;580700;181800;2580700;1181800;2216;Pierrafortscha;4
CH;2196;Fribourg;591;569600;185000;2569600;1185000;2217;Ponthaux;4
CH;2196;Fribourg;1856;580100;177800;2580100;1177800;2220;Le Mouret;4
CH;2196;Fribourg;570;567700;181700;2567700;1181700;2221;Prez-vers-Noréaz;4
CH;2196;Fribourg;51;577400;176800;2577400;1176800;2225;Senèdes;4
CH;2196;Fribourg;1140;577000;175100;2577000;1175100;2226;Treyvaux;4
CH;2196;Fribourg;548;577000;182200;2577000;1182200;2228;Villars-sur-Glâne;2
CH;230;Winterthur;1507;692500;264900;2692500;1264900;223;Neftenbach;2
