GMDHISTID;GMDNR;GMDNAME;BZHISTID;BZNR;KTNR;GRNR;AREA_HA;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;Z_CNTR;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR
13256;1;Aeugst am Albis;10053;101;1;4;791;2678111;2681155;1234561;1238544;2679300;1235700;533;887;685;673;700;678111;681155;234561;238544;679300;235700
12497;10;Obfelden;10053;101;1;4;754;2672793;2676119;1232987;1237091;2675100;1235300;383;520;440;439;453;672793;676119;232987;237091;675100;235300
10383;100;Stadel;10080;104;1;4;1289;2675397;2679921;1263209;1268199;2677500;1264700;362;637;462;439;435;675397;679921;263209;268199;677500;264700
15557;1001;Doppleschwand;10303;316;3;6;695;2645094;2647808;1205150;1209224;2646900;1207700;594;971;759;753;751;645094;647808;205150;209224;646900;207700
15561;1002;Entlebuch;10303;316;3;6;5690;2643451;2655295;1193732;1209554;2647600;1204800;588;1910;1062;1001;722;643451;655295;193732;209554;647600;204800
15543;1004;Flühli;10303;316;3;6;10817;2638864;2648254;1180568;1196637;2644000;1192600;780;2347;1379;1364;883;638864;648254;180568;196637;644000;192600
15547;1005;Hasle (LU);10303;316;3;6;4031;2643992;2653050;1194039;1205547;2646600;1203400;664;2037;1139;1116;717;643992;653050;194039;205547;646600;203400
15582;1007;Romoos;10303;316;3;6;3739;2638764;2647083;1202209;1209671;2644800;1206900;605;1371;954;952;787;638764;647083;202209;209671;644800;206900
15585;1008;Schüpfheim;10303;316;3;6;3838;2638673;2648135;1195573;1203422;2644200;1200400;690;1978;970;923;727;638673;648135;195573;203422;644200;200400
15522;1009;Werthenstein;10303;316;3;6;1580;2647624;2654069;1206388;1212064;2650400;1211600;509;977;706;701;578;647624;654069;206388;212064;650400;211600
10597;101;Steinmaur;10080;104;1;4;939;2673275;2678292;1259495;1263532;2676600;1261500;411;797;499;484;464;673275;678292;259495;263532;676600;261500
15518;1010;Escholzmatt-Marbach;10303;316;3;6;10640;2631826;2643949;1183293;1203482;2637800;1196000;744;2092;1086;1038;857;631826;643949;183293;203482;637800;196000
10448;102;Weiach;10080;104;1;4;958;2673450;2677524;1265632;1269583;2675200;1267800;332;624;437;425;383;673450;677524;265632;269583;675200;267800
